Iter|Gen RMP time|Sol RMP time|Sol SP time|Col- |Col+ |RMP col|SP path|Flow > 0|Obj|RC
0|1.30|0.33|2.28|0|12|12|50|12|1216422.34|-6.85
1|0.00|0.46|2.25|0|50|62|50|34|1201536.48|-6.84
2|0.01|0.48|2.32|0|50|112|50|62|1190672.03|-13.44
3|0.00|0.45|2.26|0|50|162|50|87|1168555.67|-48.97
4|0.00|0.48|2.42|0|50|212|50|108|1144499.05|-46.89
5|0.00|0.48|2.36|0|50|262|50|135|1116059.60|-45.59
6|0.00|0.48|2.28|0|50|312|50|155|1099106.98|-49.94
7|0.01|0.48|2.25|0|50|362|50|171|1082292.29|-62.57
8|0.00|0.49|2.29|0|50|412|50|187|1049586.26|-45.86
9|0.00|0.48|2.30|0|50|462|50|202|1026596.73|-57.04
10|0.00|0.51|2.27|0|50|512|50|208|1008493.07|-47.96
11|0.00|0.54|2.26|0|50|562|50|233|980162.10|-45.12
12|0.00|0.56|2.27|0|50|612|50|242|961365.75|-53.24
13|0.01|0.57|2.26|0|50|662|50|254|950865.45|-46.25
14|0.01|0.60|2.38|0|50|712|50|275|915470.32|-39.19
15|0.00|0.69|2.40|0|50|762|50|303|886571.22|-25.39
16|0.00|0.73|2.40|0|50|812|50|308|864329.63|-41.46
17|0.00|0.78|2.43|0|50|862|50|319|840434.72|-22.62
18|0.00|1.18|2.42|0|50|912|50|344|809338.29|-22.51
19|0.00|1.19|2.40|0|50|962|50|346|775620.91|-31.51
20|0.00|1.27|2.40|0|50|1012|50|364|749199.48|-35.74
21|0.00|1.31|2.43|0|50|1062|50|384|714725.78|-26.30
22|0.00|1.41|2.40|0|50|1112|50|392|683279.86|-34.88
23|0.00|1.43|2.42|0|50|1162|50|411|655051.64|-22.55
24|0.00|1.40|2.42|0|50|1212|50|426|634246.94|-23.16
25|0.00|1.65|2.43|0|50|1262|50|442|605826.85|-37.20
26|0.01|1.58|2.40|0|50|1312|50|470|591078.68|-12.07
27|0.00|1.65|2.43|0|50|1362|50|467|570775.49|-17.29
28|0.01|1.64|2.41|0|50|1412|50|469|554354.83|-16.76
29|0.01|1.65|2.43|0|50|1462|50|481|534452.31|-22.80
30|0.00|2.03|2.42|0|50|1512|50|491|518791.73|-14.00
31|0.01|1.96|2.40|0|50|1562|50|504|490608.47|-15.02
32|0.01|2.01|2.41|0|50|1612|50|519|460362.95|-20.76
33|0.01|2.05|2.38|0|50|1662|50|535|437544.86|-10.44
34|0.01|1.98|2.38|0|50|1712|50|540|406815.50|-8.68
35|0.01|1.99|2.40|0|50|1762|50|547|384489.01|-12.06
36|0.01|2.13|2.40|0|50|1812|50|572|366825.75|-6.21
37|0.01|2.21|2.40|0|50|1862|50|566|345103.32|-8.02
38|0.01|2.08|2.38|0|50|1912|50|566|330603.18|-8.00
39|0.01|2.20|2.39|0|50|1962|50|564|311883.38|-7.44
40|0.01|2.17|2.42|0|50|2012|50|579|294088.48|-10.58
41|0.01|2.39|2.40|0|50|2062|50|578|275181.61|-7.11
42|0.01|2.31|2.41|0|50|2112|50|577|254971.92|-5.99
43|0.01|2.30|2.43|0|50|2162|50|588|241468.72|-6.76
44|0.01|2.29|2.45|0|50|2212|50|617|210597.75|-7.91
45|0.01|2.58|2.53|0|50|2262|50|628|174622.54|-8.14
46|0.01|2.60|2.50|0|50|2312|50|632|143371.92|-8.05
47|0.01|2.37|2.42|0|50|2362|50|620|126479.56|-12.64
48|0.01|2.28|2.42|0|50|2412|50|641|102725.11|-13.88
49|0.01|2.60|2.40|0|50|2462|50|638|85946.14|-9.12
50|0.01|2.53|2.38|0|50|2512|50|639|70115.41|-10.65
51|0.01|2.62|2.40|0|50|2562|50|675|46304.25|-10.72
52|0.01|2.53|2.42|0|50|2612|50|666|33914.78|-5.92
53|0.01|2.81|2.46|0|50|2662|50|681|13018.09|-5.90
54|0.01|2.73|2.43|0|50|2712|50|688|-6021.94|-5.96
55|0.01|2.90|2.43|0|50|2762|50|696|-20977.46|-7.94
56|0.01|2.94|2.40|0|50|2812|50|698|-41009.32|-5.51
57|0.01|2.92|2.40|0|50|2862|50|709|-53542.77|-4.81
58|0.01|2.98|2.39|0|50|2912|50|707|-61791.03|-4.97
59|0.01|2.84|2.40|0|50|2962|50|696|-79163.82|-4.83
60|0.01|2.97|2.42|0|50|3012|50|721|-91155.71|-4.77
61|0.02|2.88|2.39|0|50|3062|50|738|-99912.56|-5.13
62|0.01|3.09|2.42|0|50|3112|50|740|-105656.44|-4.71
63|0.01|3.02|2.43|0|50|3162|50|749|-113635.18|-4.44
64|0.01|3.19|2.41|0|50|3212|50|750|-118474.15|-5.11
65|0.01|2.98|2.46|0|50|3262|50|760|-123052.08|-3.32
66|0.01|3.07|2.42|0|50|3312|50|752|-129950.60|-3.65
67|0.01|3.05|2.42|0|50|3362|50|771|-135966.27|-3.28
68|0.01|3.12|2.40|0|50|3412|50|779|-147355.62|-2.84
69|0.01|3.25|2.41|0|50|3462|50|818|-154984.21|-2.35
70|0.01|3.14|2.44|0|50|3512|50|805|-159987.73|-2.29
71|0.01|3.44|2.40|0|50|3562|50|825|-165378.73|-2.24
72|0.02|3.16|2.38|0|50|3612|50|853|-171106.40|-2.03
73|0.01|3.18|2.40|0|50|3662|50|837|-177166.63|-2.05
74|0.01|3.23|2.40|0|50|3712|50|853|-181648.81|-1.92
75|0.01|3.07|2.42|0|50|3762|50|852|-185340.12|-1.68
76|0.01|3.26|2.41|0|50|3812|50|856|-193866.25|-2.07
77|0.01|3.28|2.44|0|50|3862|50|848|-198688.84|-1.42
78|0.01|3.38|2.41|0|50|3912|50|862|-201398.71|-1.42
79|0.01|3.58|2.50|0|50|3962|50|885|-204357.82|-1.21
80|0.01|3.44|2.43|0|50|4012|50|885|-207083.84|-1.13
81|0.01|3.43|2.41|0|50|4062|50|869|-209568.67|-1.19
82|0.01|3.43|2.41|0|50|4112|50|882|-211574.79|-0.99
83|0.01|3.52|2.42|0|50|4162|50|865|-213255.91|-1.11
84|0.01|3.32|2.41|0|50|4212|50|875|-215603.28|-1.13
85|0.01|3.36|2.39|0|50|4262|50|872|-218042.19|-1.13
86|0.01|3.36|2.42|0|50|4312|50|879|-219984.67|-1.04
87|0.01|3.48|2.39|0|50|4362|50|877|-221437.83|-0.88
88|0.02|3.40|2.44|0|50|4412|50|896|-224261.25|-1.05
89|0.01|3.44|2.48|0|50|4462|50|887|-225985.07|-0.97
90|0.01|3.56|2.40|0|50|4512|50|884|-228456.00|-0.87
91|0.01|3.47|2.40|0|50|4562|50|882|-230289.13|-0.82
92|0.01|3.41|2.40|0|50|4612|50|899|-232192.82|-0.89
93|0.01|3.39|2.40|0|50|4662|50|885|-234413.63|-0.90
94|0.01|3.33|2.41|0|50|4712|50|890|-237062.88|-0.93
95|0.01|3.17|2.42|0|50|4762|50|881|-238976.65|-0.77
96|0.01|3.33|2.41|0|50|4812|50|888|-240906.22|-0.85
97|0.01|3.21|2.39|0|50|4862|50|899|-242522.16|-1.03
98|0.01|3.50|2.41|0|50|4912|50|907|-244919.91|-0.80
99|0.01|3.59|2.44|0|50|4962|50|909|-246952.38|-0.69
100|0.01|3.50|2.41|0|50|5012|50|922|-248209.59|-0.76
101|0.01|3.31|2.41|0|50|5062|50|919|-249369.87|-0.71
102|0.01|3.35|2.39|0|50|5112|50|930|-250170.60|-0.68
103|0.01|3.27|2.40|0|50|5162|50|928|-251568.32|-0.75
104|0.02|3.67|2.38|0|50|5212|50|923|-252939.17|-0.67
105|0.01|3.76|2.49|0|50|5262|50|938|-254331.53|-0.63
106|0.01|3.53|2.42|0|50|5312|50|939|-255627.14|-0.62
107|0.01|3.54|2.42|0|50|5362|50|941|-257021.51|-0.62
108|0.01|3.43|2.37|0|50|5412|50|943|-257858.29|-0.63
109|0.01|3.33|2.31|0|50|5462|47|989|-263255.86|-0.53
110|0.01|3.60|2.35|0|47|5509|47|983|-264272.42|-0.52
111|0.01|3.41|2.23|0|47|5556|44|967|-265537.32|-0.43
112|0.01|3.40|2.04|0|44|5600|41|959|-266725.11|-0.44
113|0.01|3.42|2.14|0|41|5641|43|963|-267492.12|-0.47
114|0.00|3.63|1.83|0|43|5684|37|966|-267959.05|-0.46
115|0.00|3.53|2.04|0|37|5721|41|954|-268954.87|-0.46
116|0.01|3.46|2.00|0|41|5762|40|954|-269577.22|-0.43
117|0.00|3.47|1.92|0|40|5802|39|957|-270421.17|-0.46
118|0.00|3.37|1.81|0|39|5841|36|961|-270923.97|-0.41
119|0.00|3.58|1.92|0|36|5877|38|962|-271720.65|-0.49
120|0.00|3.50|1.95|0|38|5915|39|962|-272442.23|-0.42
121|0.01|3.54|1.89|0|39|5954|37|948|-273080.99|-0.44
122|0.00|3.58|1.69|0|37|5991|34|948|-273534.94|-0.40
123|0.00|3.41|1.87|0|34|6025|38|946|-274279.37|-0.47
124|0.00|3.63|1.70|0|38|6063|34|955|-274824.52|-0.40
125|0.01|3.53|1.90|0|34|6097|38|967|-275567.63|-0.42
126|0.00|3.79|1.83|0|38|6135|36|967|-276066.03|-0.47
127|0.00|3.58|1.85|0|36|6171|37|970|-276775.82|-0.40
128|0.01|3.57|1.62|0|37|6208|32|973|-277260.15|-0.40
129|0.00|3.45|1.70|0|32|6240|33|965|-277616.66|-0.40
130|0.00|3.44|1.81|0|33|6273|36|964|-277939.59|-0.39
131|0.00|3.78|1.73|0|36|6309|35|959|-278391.96|-0.38
132|0.01|3.85|1.63|0|35|6344|32|958|-278769.40|-0.38
133|0.01|3.73|1.73|0|32|6376|34|952|-279262.92|-0.36
134|0.01|3.80|1.72|0|34|6410|34|971|-279594.87|-0.35
135|0.01|3.39|1.59|0|34|6444|31|967|-279891.59|-0.40
136|0.00|3.76|1.56|0|31|6475|29|973|-280103.62|-0.36
137|0.00|3.64|1.70|0|29|6504|32|982|-280384.42|-0.35
138|0.00|3.82|1.52|0|32|6536|30|968|-280612.08|-0.35
139|0.01|3.62|1.46|0|30|6566|29|989|-280849.72|-0.35
