Iter|Gen RMP time|Sol RMP time|Sol SP time|Col- |Col+ |RMP col|SP path|Flow > 0|Obj|RC
0|12.60|0.39|2.34|0|247|247|50|75|-880250.95|-14.77
1|0.01|0.54|2.38|0|50|297|50|107|-883147.70|-8.50
2|0.01|0.55|2.36|0|50|347|50|137|-904622.01|-34.40
3|0.01|0.60|2.35|0|50|397|50|157|-929415.01|-29.49
4|0.01|0.61|2.36|0|50|447|50|182|-957104.96|-29.41
5|0.01|0.60|2.39|0|50|497|50|208|-984871.88|-15.05
6|0.01|0.62|2.36|0|50|547|50|228|-1009322.00|-14.27
7|0.01|0.67|2.36|0|50|597|50|247|-1044976.61|-38.96
8|0.01|0.73|2.35|0|50|647|50|267|-1082730.60|-18.25
9|0.01|0.79|2.35|0|50|697|50|284|-1121105.93|-18.49
10|0.01|0.88|2.34|0|50|747|50|302|-1148940.57|-38.95
11|0.01|1.12|2.35|0|50|797|50|308|-1186505.46|-25.93
12|0.01|1.09|2.35|0|50|847|50|333|-1208192.52|-9.73
13|0.01|1.48|2.36|0|50|897|50|363|-1223248.86|-27.41
14|0.01|1.47|2.36|0|50|947|50|383|-1266624.16|-25.28
15|0.01|1.52|2.34|0|50|997|50|396|-1305193.69|-17.49
16|0.01|1.61|2.35|0|50|1047|50|413|-1339045.33|-7.86
17|0.01|1.71|2.32|0|50|1097|50|434|-1364142.65|-9.78
18|0.01|1.58|2.34|0|50|1147|50|436|-1391791.44|-8.16
19|0.01|1.66|2.36|0|50|1197|50|448|-1428005.30|-8.26
20|0.01|1.64|2.36|0|50|1247|50|477|-1454596.89|-17.50
21|0.01|1.99|2.34|0|50|1297|50|474|-1474564.34|-16.35
22|0.01|2.05|2.33|0|50|1347|50|495|-1493349.84|-8.23
23|0.01|1.90|2.38|0|50|1397|50|507|-1518452.02|-9.71
24|0.01|2.04|2.35|0|50|1447|50|527|-1540025.74|-10.99
25|0.01|1.98|2.33|0|50|1497|50|536|-1564039.03|-7.18
26|0.01|2.20|2.33|0|50|1547|50|566|-1587403.21|-7.04
27|0.01|2.11|2.32|0|50|1597|50|577|-1613032.43|-8.32
28|0.01|2.16|2.39|0|50|1647|50|583|-1630627.02|-7.84
29|0.01|2.18|2.34|0|50|1697|50|603|-1649575.00|-13.81
30|0.01|2.29|2.33|0|50|1747|50|618|-1674226.80|-7.10
31|0.01|2.40|2.33|0|50|1797|50|625|-1692970.42|-15.41
32|0.01|2.25|2.33|0|50|1847|50|631|-1710614.98|-13.08
33|0.01|2.38|2.33|0|50|1897|50|633|-1732074.69|-6.81
34|0.01|2.46|2.32|0|50|1947|50|648|-1749660.16|-10.69
35|0.01|2.46|2.32|0|50|1997|50|661|-1770845.41|-7.42
36|0.01|2.75|2.32|0|50|2047|50|669|-1785978.39|-6.44
37|0.01|2.67|2.34|0|50|2097|50|682|-1803496.03|-8.81
38|0.01|2.63|2.38|0|50|2147|50|699|-1816964.33|-7.40
39|0.01|2.60|2.32|0|50|2197|50|693|-1832196.37|-13.85
40|0.01|2.73|2.30|0|50|2247|50|705|-1844528.15|-11.39
41|0.01|2.77|2.32|0|50|2297|50|707|-1859519.35|-8.62
42|0.01|2.73|2.33|0|50|2347|50|722|-1875173.57|-6.22
43|0.01|2.64|2.30|0|50|2397|50|721|-1898274.89|-6.45
44|0.01|2.76|2.33|0|50|2447|50|731|-1918895.36|-16.36
45|0.01|2.78|2.34|0|50|2497|50|747|-1936657.38|-7.72
46|0.01|2.83|2.31|0|50|2547|50|759|-1958613.06|-5.88
47|0.01|2.81|2.32|0|50|2597|50|759|-1971931.79|-6.33
48|0.01|2.80|2.33|0|50|2647|50|764|-1989628.50|-5.70
49|0.01|3.00|2.33|0|50|2697|50|768|-2013787.04|-6.24
50|0.01|3.00|2.35|0|50|2747|50|784|-2027828.99|-5.68
51|0.01|3.07|2.30|0|50|2797|50|782|-2045728.48|-5.99
52|0.01|3.03|2.33|0|50|2847|50|800|-2054664.51|-5.44
53|0.01|3.01|2.32|0|50|2897|50|781|-2071681.13|-5.66
54|0.01|2.93|2.31|0|50|2947|50|810|-2088483.91|-5.82
55|0.01|2.87|2.32|0|50|2997|50|820|-2112896.28|-5.59
56|0.01|3.12|2.30|0|50|3047|50|811|-2125543.42|-5.50
57|0.01|3.27|2.29|0|50|3097|50|816|-2138294.58|-5.60
58|0.01|3.13|2.32|0|50|3147|50|835|-2152065.08|-5.03
59|0.01|3.13|2.29|0|50|3197|50|835|-2162097.38|-5.42
60|0.01|3.20|2.28|0|50|3247|50|836|-2172322.76|-4.69
61|0.01|3.22|2.29|0|50|3297|50|833|-2185476.42|-6.09
62|0.01|3.29|2.37|0|50|3347|50|839|-2191607.82|-5.44
63|0.01|3.12|2.32|0|50|3397|50|837|-2198071.80|-7.48
64|0.01|3.46|2.33|0|50|3447|50|848|-2204692.15|-6.29
65|0.01|3.12|2.31|0|50|3497|50|857|-2213136.37|-4.00
66|0.01|3.24|2.29|0|50|3547|50|863|-2219849.92|-4.30
67|0.01|3.34|2.30|0|50|3597|50|868|-2225957.87|-3.54
68|0.01|3.22|2.31|0|50|3647|50|872|-2230745.96|-3.48
69|0.01|3.05|2.30|0|50|3697|50|892|-2236096.84|-3.34
70|0.01|3.29|2.28|0|50|3747|50|889|-2243629.45|-3.32
71|0.01|3.25|2.24|0|50|3797|50|923|-2247981.62|-2.63
72|0.01|3.27|2.29|0|50|3847|50|912|-2252674.02|-2.76
73|0.01|3.39|2.27|0|50|3897|50|909|-2254788.72|-2.39
74|0.01|3.40|2.30|0|50|3947|50|901|-2258290.52|-2.81
75|0.01|3.45|2.29|0|50|3997|50|902|-2262011.38|-2.53
76|0.01|3.43|2.27|0|50|4047|50|927|-2264519.03|-2.28
77|0.01|3.45|2.28|0|50|4097|50|923|-2266382.58|-2.13
78|0.01|3.35|2.23|0|50|4147|50|924|-2268750.93|-2.04
79|0.01|3.42|2.28|0|50|4197|50|942|-2271229.88|-2.25
80|0.01|3.41|2.27|0|50|4247|50|935|-2274618.68|-2.07
81|0.01|3.52|2.31|0|50|4297|50|922|-2277767.06|-1.98
82|0.01|3.45|2.28|0|50|4347|50|929|-2280531.37|-1.80
83|0.01|3.29|2.28|0|50|4397|50|934|-2282272.13|-1.71
84|0.01|3.49|2.28|0|50|4447|50|952|-2284890.02|-2.00
85|0.01|3.55|2.29|0|50|4497|50|970|-2287385.53|-1.75
86|0.01|3.51|2.28|0|50|4547|50|982|-2288970.94|-1.53
87|0.01|3.57|2.28|0|50|4597|50|953|-2290811.39|-1.53
88|0.01|3.48|2.26|0|50|4647|50|970|-2292887.55|-1.50
89|0.01|3.56|2.28|0|50|4697|50|977|-2294702.93|-1.55
90|0.01|3.43|2.29|0|50|4747|50|975|-2296413.23|-1.40
91|0.01|3.54|2.28|0|50|4797|50|971|-2299297.06|-1.41
92|0.01|3.38|2.28|0|50|4847|50|971|-2300564.37|-1.48
93|0.01|3.46|2.31|0|50|4897|50|957|-2302111.14|-1.57
94|0.01|3.91|2.36|0|50|4947|50|953|-2303643.56|-1.34
95|0.01|3.62|2.26|0|50|4997|50|990|-2305489.83|-1.32
96|0.01|3.49|2.29|0|50|5047|50|964|-2307003.85|-1.15
97|0.01|3.60|2.29|0|50|5097|50|1010|-2308704.66|-1.18
98|0.01|3.54|2.25|0|50|5147|50|992|-2310248.48|-1.28
99|0.01|3.58|2.26|0|50|5197|50|1002|-2311666.52|-1.16
100|0.01|4.28|2.23|0|50|5247|50|988|-2312716.69|-6.48
101|0.01|3.67|2.27|0|50|5297|50|1003|-2312941.63|-1.07
