Iter|Gen RMP time|Sol RMP time|Sol SP time|Col- |Col+ |RMP col|SP path|Flow > 0|Obj|RC
0|0.98|0.31|2.14|0|4|4|43|2|1193262.59|-0.29
1|0.00|0.48|2.09|0|43|47|42|37|1192497.08|-0.21
2|0.00|0.48|2.00|0|42|89|40|66|1190382.98|-0.42
3|0.00|0.48|1.69|0|40|129|34|89|1188603.07|-0.36
4|0.00|0.48|1.67|0|34|163|33|107|1187058.80|-0.52
5|0.00|0.48|1.66|0|33|196|33|123|1185025.94|-0.47
6|0.00|0.48|0.71|0|33|229|14|135|1181332.17|-0.37
7|0.00|0.49|0.15|0|14|243|1|73|1119090.25|-0.14
8|0.00|0.49|0.09|0|1|244|0|73|1119090.25|-0.09
